E	beta_pair_E	beta_pion_E	beta_rsh_E	beta_total_E
1.0e17	5.83561042724264e-21	0	7.665e-11	7.66500000058356e-11
1.011591112223834e17	7.520108454472746e-21	0	7.665e-11	7.665000000752011e-11
1.023316578330245e17	9.66459638513566e-21	0	7.665e-11	7.66500000096646e-11
1.0351779556301805e17	1.2387349688011149e-20	0	7.665e-11	7.665000001238735e-11
1.0471768194855203e17	1.5835115378427953e-20	0	7.665e-11	7.665000001583512e-11
1.0593147635183744e17	2.0189481874365397e-20	0	7.665e-11	7.665000002018948e-11
1.0715933998226712e17	2.5674560722240486e-20	0	7.665e-11	7.665000002567456e-11
1.0840143591783354e17	3.256622564653024e-20	0	7.665e-11	7.665000003256623e-11
1.09657929126781e17	4.1203195299330985e-20	0	7.665e-11	7.66500000412032e-11
1.1092898648952274e17	5.2000292899944745e-20	0	7.665e-11	7.66500000520003e-11
1.1221477682079802e17	6.54642693498526e-20	0	7.665e-11	7.665000006546428e-11
1.1351547089210037e17	8.221263713277162e-20	0	7.665e-11	7.665000008221264e-11
1.148312414543511e17	1.0299603116555841e-19	0	7.665e-11	7.665000010299603e-11
1.1616226326085066e17	1.287246906176964e-19	0	7.665e-11	7.66500001287247e-11
1.1750871309048075e17	1.604997434830463e-19	0	7.665e-11	7.665000016049974e-11
1.1887076977119082e17	1.9965007434816567e-19	0	7.665e-11	7.665000019965007e-11
1.2024861420374123e17	2.4777566638693985e-19	0	7.665e-11	7.665000024777567e-11
1.216424293857373e17	3.0679843221327066e-19	0	7.665e-11	7.665000030679843e-11
1.2305240043592616e17	3.7902168597421597e-19	0	7.665e-11	7.665000037902169e-11
1.2447871461879112e17	4.671995621555491e-19	0	7.665e-11	7.665000046719956e-11
1.2592156136941509e17	5.7461785621620115e-19	0	7.665e-11	7.665000057461785e-11
1.2738113231864837e17	7.051879496355042e-19	0	7.665e-11	7.665000070518795e-11
1.288576213185518e17	8.635556885200347e-19	0	7.665e-11	7.665000086355569e-11
1.3035122446815142e17	1.055227311891412e-18	0	7.665e-11	7.665000105522732e-11
1.3186214013947485e17	1.2867147744534158e-18	0	7.665e-11	7.665000128671478e-11
1.3339056900390642e17	1.5657030803418143e-18	0	7.665e-11	7.665000156570308e-11
1.3493671405883064e17	1.901242540352796e-18	0	7.665e-11	7.665000190124255e-11
1.3650078065460194e17	2.3039691867127844e-18	0	7.665e-11	7.665000230396919e-11
1.3808297652180923e17	2.7863569277601045e-18	0	7.665e-11	7.665000278635693e-11
1.3968351179887454e17	3.3630054011480955e-18	0	7.665e-11	7.66500033630054e-11
1.4130259905995336e17	4.050967889352257e-18	0	7.665e-11	7.665000405096789e-11
1.4294045334317669e17	4.87012409639705e-18	0	7.665e-11	7.66500048701241e-11
1.4459729217920195e17	5.843603050568453e-18	0	7.665e-11	7.665000584360305e-11
1.462733356201136e17	6.99826189523701e-18	0	7.665e-11	7.66500069982619e-11
1.479688062686396e17	8.365226859199195e-18	0	7.665e-11	7.665000836522686e-11
1.4968392930772618e17	9.980503259637889e-18	0	7.665e-11	7.665000998050326e-11
1.514189325304352e17	1.1885661984876556e-17	0	7.665e-11	7.665001188566199e-11
1.531740463702086e17	1.412861053066596e-17	0	7.665e-11	7.665001412861053e-11
1.5494950393146317e17	1.676445732221337e-17	0	7.665e-11	7.665001676445733e-11
1.5674554102056013e17	1.985647874421055e-17	0	7.665e-11	7.665001985647875e-11
1.5856239617711373e17	2.3477199021490918e-17	0	7.665e-11	7.665002347719902e-11
1.6040031070568266e17	2.7709593842813513e-17	0	7.665e-11	7.665002770959385e-11
1.622595287078087e17	3.264842939762299e-17	0	7.665e-11	7.66500326484294e-11
1.6414029711444733e17	3.8401749299077325e-17	0	7.665e-11	7.66500384017493e-11
1.6604286571875296e17	4.509252269329596e-17	0	7.665e-11	7.665004509252269e-11
1.6796748720926602e17	5.2860467702717975e-17	0	7.665e-11	7.665005286046771e-11
1.699144172034626e17	6.186406521677852e-17	0	7.665e-11	7.665006186406522e-11
1.7188391428171526e17	7.228277892339205e-17	0	7.665e-11	7.665007228277892e-11
1.7387624002162506e17	8.431949836493774e-17	0	7.665e-11	7.665008431949837e-11
1.7589165903277398e17	9.820322269972118e-17	0	7.665e-11	7.66500982032227e-11
1.7793043899185773e17	1.1419200374799025e-16	0	7.665e-11	7.665011419200374e-11
1.799928506782484e17	1.3257616779732002e-16	0	7.665e-11	7.66501325761678e-11
1.8207916800994624e17	1.53681836528003e-16	0	7.665e-11	7.665015368183653e-11
1.8418966807997184e17	1.7787476829161112e-16	0	7.665e-11	7.66501778747683e-11
1.8632463119315597e17	2.0556454182627561e-16	0	7.665e-11	7.665020556454183e-11
1.8848434090338032e17	2.372091053168601e-16	0	7.665e-11	7.665023720910532e-11
1.9066908405122518e17	2.7331971449729195e-16	0	7.665e-11	7.66502733197145e-11
1.9287915080207856e17	3.144662842420482e-16	0	7.665e-11	7.665031446628425e-11
1.9511483468466163e17	3.612831787928981e-16	0	7.665e-11	7.665036128317879e-11
1.9737643263002634e17	4.14475466412989e-16	0	7.665e-11	7.665041447546641e-11
1.9966424501097933e17	4.748256648392888e-16	0	7.665e-11	7.665047482566485e-11
2.0197857568198867e17	5.432010044158483e-16	0	7.665e-11	7.665054320100442e-11
2.0431973201952704e17	6.205612362179865e-16	0	7.665e-11	7.665062056123621e-11
2.0668802496290906e17	7.07967012822866e-16	0	7.665e-11	7.665070796701282e-11
2.09083769055575e17	8.065888696267011e-16	0	7.665e-11	7.665080658886963e-11
2.1150728248688035e17	9.177168347568528e-16	0	7.665e-11	7.665091771683475e-11
2.1395888713434214e17	1.042770695657604e-15	0	7.665e-11	7.665104277069566e-11
2.164389086064029e17	1.1833109503484822e-15	0	7.665e-11	7.665118331095036e-11
2.1894767628566208e17	1.3410504711438821e-15	0	7.665e-11	7.665134105047114e-11
2.2148552337263683e17	1.5178669082773752e-15	0	7.665e-11	7.665151786690828e-11
2.2405278693000182e17	1.7158158604063045e-15	0	7.665e-11	7.66517158158604e-11
2.266498079273702e17	1.937144838332799e-15	0	7.665e-11	7.665193714483833e-11
2.2927693128656486e17	2.18430804752748e-15	0	7.665e-11	7.665218430804752e-11
2.319345059274437e17	2.459982014084699e-15	0	7.665e-11	7.665245998201408e-11
2.3462288481422624e17	2.7670820776768595e-15	0	7.665e-11	7.665276708207768e-11
2.373424250023876e17	3.10877977381728e-15	0	7.665e-11	7.665310877977382e-11
2.4009348768606518e17	3.4885211263211463e-15	0	7.665e-11	7.665348852112632e-11
2.4287643824604605e17	3.910045869285189e-15	0	7.665e-11	7.665391004586928e-11
2.45691646298279e17	4.377407616142083e-15	0	7.665e-11	7.665437740761614e-11
2.4853948574298086e17	4.8949949914429135e-15	0	7.665e-11	7.665489499499145e-11
2.5142033481427965e17	5.4675537389158665e-15	0	7.665e-11	7.665546755373892e-11
2.5433457613046586e17	6.100209817115713e-15	0	7.665e-11	7.665610020981712e-11
2.572825967447932e17	6.798493491537658e-15	0	7.665e-11	7.665679849349154e-11
