E	db0_pair_dE	db0_pion_dE	db0_rsh_dE	db0_dE
1.0e17	1.3494339628193369e-19	0.0	7.358487281534e-11	1.3494339628193369e-19
1.011591112223834e17	1.7211565027337658e-19	0.0	7.358487281534e-11	1.7211565027337658e-19
1.023316578330245e17	2.1893514790375366e-19	0.0	7.358487281534e-11	2.1893514790375366e-19
1.0351779556301805e17	2.777475888540248e-19	0.0	7.358487281534e-11	2.777475888540248e-19
1.0471768194855203e17	3.514292577374413e-19	0.0	7.358487281534e-11	3.514292577374413e-19
1.0593147635183744e17	4.434976452050788e-19	0.0	7.358487281534e-11	4.434976452050788e-19
1.0715933998226712e17	5.582430604864961e-19	0.0	7.358487281534e-11	5.582430604864961e-19
1.0840143591783354e17	7.008847950149481e-19	0.0	7.358487281534e-11	7.008847950149481e-19
1.09657929126781e17	8.777559197008864e-19	0.0	7.358487281534e-11	8.777559197008864e-19
1.1092898648952274e17	1.0965213876267392e-18	0.0	7.358487281534e-11	1.0965213876267392e-18
1.1221477682079802e17	1.366434766701981e-18	0.0	7.358487281534e-11	1.366434766701981e-18
1.1351547089210037e17	1.6986396633595083e-18	0.0	7.358487281534e-11	1.6986396633595083e-18
1.148312414543511e17	2.1065226991765407e-18	0.0	7.358487281534e-11	2.1065226991765407e-18
1.1616226326085066e17	2.606125813395215e-18	0.0	7.358487281534e-11	2.606125813395215e-18
1.1750871309048075e17	3.2166266425619602e-18	0.0	7.358487281534e-11	3.2166266425619602e-18
1.1887076977119082e17	3.960896822675904e-18	0.0	7.358487281534e-11	3.960896822675904e-18
1.2024861420374123e17	4.866149244715451e-18	0.0	7.358487281534e-11	4.866149244715451e-18
1.216424293857373e17	5.964686607187534e-18	0.0	7.358487281534e-11	5.964686607187534e-18
1.2305240043592616e17	7.294765017827883e-18	0.0	7.358487281534e-11	7.294765017827883e-18
1.2447871461879112e17	8.901587930861882e-18	0.0	7.358487281534e-11	8.901587930861882e-18
1.2592156136941509e17	1.083844736210177e-17	0.0	7.358487281534e-11	1.083844736210177e-17
1.2738113231864837e17	1.3168031147458812e-17	0.0	7.358487281534e-11	1.3168031147458812e-17
1.288576213185518e17	1.596391687813294e-17	0.0	7.358487281534e-11	1.596391687813294e-17
1.3035122446815142e17	1.931227523187117e-17	0.0	7.358487281534e-11	1.931227523187117e-17
1.3186214013947485e17	2.33138076178836e-17	0.0	7.358487281534e-11	2.33138076178836e-17
1.3339056900390642e17	2.808594534084996e-17	0.0	7.358487281534e-11	2.808594534084996e-17
1.3493671405883064e17	3.3765340004663424e-17	0.0	7.358487281534e-11	3.3765340004663424e-17
1.3650078065460194e17	4.0510677391557146e-17	0.0	7.358487281534e-11	4.0510677391557146e-17
1.3808297652180923e17	4.85058498447665e-17	0.0	7.358487281534e-11	4.85058498447665e-17
