E	dEsrc_dE
1.0e17	1.0850000013033783
1.2067926406393264e17	1.085000033933224
1.4563484775012384e17	1.0850005209897218
1.7575106248547965e17	1.0850051404020675
2.1209508879201926e17	1.0850350136220681
2.559547922699533e17	1.0851748006390478
3.088843596477472e17	1.085672515705544
3.727593720314953e17	1.0870799791844605
4.4984326689694534e17	1.0903595812152007
5.428675439323859e17	1.096859547749428
6.551285568595496e17	1.1081184069691918
7.90604321090767e17	1.1255532287892427
9.540954763499963e17	1.1501325348337883
1.1513953993264481e18	1.1821142561256037
1.3894954943731361e18	1.2208874373741625
1.6768329368110031e18	1.2649302308523886
2.0235896477251638e18	1.311883351461604
2.4420530945486546e18	1.3587559889325853
2.9470517025518095e18	1.4023494763350393
3.5564803062231214e18	1.4399130991256177
4.291934260128761e18	1.4697183389541513
5.179474679231223e18	1.49115082078299
6.250551925273976e18	1.5043653409233626
7.543120063354608e18	1.5098989091561998
9.102981779915189e18	1.5084801073725096
1.0985411419875617e19	1.5009874606377684
1.3257113655901108e19	1.4884913856196638
1.5998587196060574e19	1.4733557761357563
1.9306977288832455e19	1.4692716934083918
2.3299518105153815e19	1.5529249350533614
2.8117686979742368e19	2.1522447638780196
3.3932217718953296e19	14.288670279429004
4.0949150623804195e19	166286.81366429775
4.941713361323818e19	2.2672771577315402e8
5.963623316594661e19	1.2957388567802011e10
7.196856730011528e19	7.623381732469827e10
8.68511373751352e19	1.4786533861803018e11
1.0481131341546832e20	1.8008681653039252e11
1.264855216855301e20	1.8274590601434006e11
1.5264179671752366e20	1.7395429981227017e11
1.8420699693267164e20	1.6313165710474603e11
2.222996482526191e20	1.5366521773469568e11
2.6826957952797164e20	1.4633331176931436e11
3.237457542817653e20	1.4099379807248862e11
3.906939937054621e20	1.3724934173343047e11
4.71486636345739e20	1.346790124732449e11
5.6898660290182814e20	1.3296926829153378e11
6.866488450043026e20	1.3184557666937892e11
8.28642772854686e20	1.3111650141575455e11
1.0e21	1.30647340669188e11
