E	Eg
1.0e17	2.0009835332680074e17
1.0092621909870443e17	2.0195838089547366e17
1.0186101701559773e17	2.038360982779164e17
1.0280447320933077e17	2.0573169779705693e17
1.0375666787451891e17	2.0764537508739178e17
1.0471768194855203e17	2.0957732919509936e17
1.0568759711848008e17	2.1152776268167075e17
1.066664958279541e17	2.1349688173111498e17
1.0765446128423138e17	2.1548489626086906e17
1.0865157746525418e17	2.1749202003654797e17
1.09657929126781e17	2.1951847079060202e17
1.10673601809597e17	2.2156447034505926e17
1.116986818467825e17	2.236302447384422e17
1.1273325637104848e17	2.2571602435699005e17
1.1377741332214949e17	2.2782204407035453e17
1.148312414543511e17	2.2994854337185178e17
1.158948303439807e17	2.3209576652347914e17
1.169682703970387e17	2.3426396270578525e17
1.1805165285688032e17	2.3645338617277955e17
1.1914506981197797e17	2.3866429641205315e17
1.2024861420374123e17	2.4089695831022806e17
1.2136237983442368e17	2.4315164232396522e17
1.2248646137509333e17	2.4542862465666355e17
1.2362095437367666e17	2.4772818744104634e17
1.2476595526308736e17	2.500506189278597e17
1.2592156136941509e17	2.523962136808174e17
1.2708787092020542e17	2.547652727780686e17
1.2826498305280626e17	2.5715810402035754e17
1.2945299782279134e17	2.5957502214610662e17
1.3065201621247253e17	2.620163490536885e17
1.3186214013947485e17	2.64482414031105e17
1.3308347246540706e17	2.669735539931877e17
1.3431611700460181e17	2.6949011372712016e17
1.355601785329366e17	2.7203244614560694e17
1.3681576279674762e17	2.7460091254896957e17
1.3808297652180923e17	2.771958828958263e17
1.3936192742241378e17	2.7981773608293738e17
1.4065272421052392e17	2.8246686023445053e17
1.4195547660500987e17	2.851436530009133e17
1.4327029534098354e17	2.8784852186843674e17
1.4459729217920195e17	2.9058188447830906e17
1.4593657991557517e17	2.9334416895753594e17
1.4728827239075046e17	2.961358142606395e17
1.486524844997854e17	2.989572705231742e17
1.5002933220192227e17	3.018089994274261e17
1.514189325304352e17	3.0469147458068506e17
1.5282140360258646e17	3.076051819066764e17
1.5423686462966304e17	3.105506200505668e17
1.556654359271059e17	3.135283007981272e17
1.5710723892474554e17	3.165387495096152e17
1.5856239617711373e17	3.195825055689076e17
1.600310313738695e17	3.2266012284856365e17
1.6151326935030928e17	3.2577217019139264e17
1.630092360979738e17	3.289192319092247e17
1.6451905877536675e17	3.3210190829960506e17
1.6604286571875296e17	3.353208161810819e17
1.675807864530762e17	3.3857658944794157e17
1.6913295170296506e17	3.41869879645113e17
1.7069949340384045e17	3.452013565641314e17
1.7228054471313994e17	3.485717088610594e17
1.7387624002162506e17	3.519816446972279e17
