E	mod_factor
1.0e17	2442.090522816447
1.097498765493059e17	2442.090524880616
1.2045035402587787e17	2442.0905351447163
1.3219411484660286e17	2442.090579309742
1.450828778495943e17	2442.0907457514695
1.5922827933410874e17	2442.091301219871
1.747528400007683e17	2442.0929594319705
1.9179102616724928e17	2442.0974282143166
2.104904144512013e17	2442.1083914204387
2.310129700083158e17	2442.1330626080903
2.5353644939701165e17	2442.1843430001913
2.7825594022071146e17	2442.283414701692
3.0538555088334125e17	2442.462334290727
3.351602650938848e17	2442.765941809704
3.6783797718286195e17	2443.252269129572
4.03701725859655e17	2443.9907031258476
4.430621457583887e17	2445.0574558418857
4.8626015800653734e17	2446.52836113168
5.3366992312063014e17	2448.46954039087
5.857020818056673e17	2450.926926635226
6.428073117284346e17	2453.9159032543294
7.05480231071863e17	2457.4123569147005
7.742636826811278e17	2461.346280576827
8.497534359086473e17	2465.59875195185
9.32603346883218e17	2470.0027291539373
1.0235310218990268e18	2474.347711747871
1.1233240329780311e18	2478.387960526872
1.2328467394420634e18	2481.8536547779936
1.3530477745798075e18	2484.464122464382
1.4849682622544696e18	2485.942069531045
1.6297508346206403e18	2486.027641878571
1.7886495290574351e18	2484.491207154223
1.9630406500402765e18	2481.144071193722
2.154434690031878e18	2475.8468957381747
2.364489412645407e18	2468.5161602693624
2.5950242113997425e18	2459.1291363182513
2.8480358684357934e18	2447.727412411283
3.125715849688235e18	2434.4180948446783
3.430469286314926e18	2419.3711239348527
3.7649358067924557e18	2402.811363197037
4.1320124001153347e18	2385.005209299458
4.5348785081285914e18	2366.2431840494332
4.977023564332093e18	2346.8212925939984
5.462277217684337e18	2327.024266073521
5.994842503189421e18	2307.1130819229425
6.579332246575656e18	2287.3178122495115
7.220809018385456e18	2267.8354623874216
7.924828983539186e18	2248.831534619839
8.697490026177799e18	2230.4437132576986
9.545484566618327e18	2212.7862413614334
1.0476157527896662e19	2195.9539972806983
1.1497569953977403e19	2180.025771008658
1.2618568830660184e19	2165.0667720666715
1.3848863713938745e19	2151.1314272391232
1.5199110829529393e19	2138.271507610704
1.6681005372000557e19	2126.568511269978
1.8307382802953697e19	2116.247152956506
2.009233002565054e19	2108.003336153352
2.205130739903041e19	2103.78729138521
2.4201282647943836e19	2108.37533827855
2.6560877829466948e19	2132.147341854828
2.9150530628251697e19	2195.941391509713
3.1992671377973846e19	2341.1692404067353
3.5111917342151418e19	2657.822563087595
3.85352859371052e19	3386.819822591051
4.229242874389499e19	5448.249965639339
4.641588833612792e19	13538.73925985783
5.094138014816365e19	1773.7932781040672
5.590810182512223e19	92.40258766159893
6.135907273413188e19	9.6632934772535
6.734150657750801e19	1.755919448176793
7.390722033525775e19	0.4816033497924454
8.111308307896889e19	0.17835528039821524
8.902150854450356e19	0.08221052719204526
9.770099572992246e19	0.04453987382211535
1.0722672220103254e20	0.0272474723954298
1.1768119524349942e20	0.018298596262955467
1.2915496650148826e20	0.013219468464493398
1.4174741629268076e20	0.010120659125073756
1.555676143930466e20	0.008120669065487855
1.7073526474706888e20	0.006770163881332978
1.873817422860387e20	0.005824993768919175
2.056512308348643e20	0.005144370302831294
2.2570197196339167e20	0.004643037183463838
2.477076355991714e20	0.004266906556641719
2.718588242732951e20	0.0039811202622464376
2.983647240283334e20	0.003761526956027679
3.2745491628777315e20	0.0035914737677100344
3.5938136638046405e20	0.003459055498469005
3.944206059437648e20	0.0033555790921300957
4.328761281083062e20	0.003274566753475583
4.7508101621028127e20	0.003211115814900451
5.2140082879996736e20	0.0031612913601891165
5.72236765935022e20	0.003122516110514355
6.280291441834272e20	0.0030923244389223013
6.892612104349681e20	0.0030689048726606875
7.56463327554629e20	0.0030508380806594706
8.302175681319769e20	0.0030369862479486002
9.111627561154869e20	0.0030264522525893763
1.0e21	0.003018521241945938
