xi	phi_xi
2.51188643150958	0.012393409321568592
2.7312637228008456	0.04490899023633011
2.96980047740645	0.1206923740068331
3.2291699999438985	0.2701941132227056
3.511191734215131	0.5347423772657365
3.817844026370506	0.9684785254037037
4.151278002752295	1.6406155215144564
4.513832659768977	2.638070075337237
4.908051271653856	4.0685275043137485
5.3366992312063095	6.064007140973651
5.802783448666185	8.785005721581966
6.309573444801933	12.425306654798417
6.860624286177787	17.217554476207766
7.459801523487935	23.439706264120332
8.11130830789687	31.422485479593124
8.81971487560358	41.55797880814423
9.589990607459978	54.30953340848464
10.427538888537677	70.22313091335177
11.33823501217849	89.94043613917549
12.32846739442066	114.21374353415536
13.405182387914735	143.92307403911872
14.575933009692955	180.09571080746383
15.848931924611133	223.9285062917643
17.23310905613508	276.81334853774246
18.73817422860384	340.36624521315093
20.37468528039708	416.4605754864445
22.15412212581184	507.2651798514922
24.088967285183035	615.288116451783
26.192793448156287	719.775549156638
28.48035868435802	870.960352537642
30.967709969353532	1049.283164111629
33.67229575211422	1259.259060686839
36.61308835364034	1506.0255867225887
39.810717055349734	1795.448751941908
43.287612810830595	2134.234437765247
47.06816559609247	2530.050412362538
51.17889550210738	2991.662280549589
55.64863876983292	3529.086064550844
60.50875007272942	4153.759975620003
65.79332246575679	4878.738025456454
71.53942654376493	5718.908335401934
77.78737048694308	6691.239287751436
84.58098281751337	7815.057009935126
91.96791985117059	9112.35808301885
100.0	10608.161820698806
108.73356727196557	12330.906976520268
118.22988651687074	14312.89831008256
128.55557319139018	16590.809083490472
139.7830606579213	19206.24627437127
151.99110829529332	22206.386089518062
165.26535398566895	25644.6882528048
179.6989148532594	29581.69853268529
195.39304046896112	34085.9500797592
212.45782310305674	39234.97537624693
231.01297000831605	45116.44197087772
251.18864315095797	51829.42670030236
273.1263722800847	59485.84479908583
296.980047740645	68212.05219388111
322.91699999439	78150.64138493562
351.1191734215131	89462.45366334807
381.7844026370508	102328.83302180257
415.1278002752295	116954.15001901337
451.383265976898	133568.6270862013
490.8051271653856	152431.50035340892
533.6699231206308	173834.55706415302
580.2783448666186	198106.0920828173
630.957344480193	225615.3319291668
686.0624286177789	256777.38025251095
745.9801523487934	292058.7447442663
811.1308307896873	331983.5122484211
881.9714875603578	377140.24633815576
958.999060745998	428189.68996515486
1042.7538888537676	485873.3650460446
1133.8235012178498	551023.1711279026
1232.8467394420659	624572.0966822976
1340.5182387914742	707566.1692374145
1457.5933009692956	801177.7846057392
1584.893192461114	906720.5710506702
1723.3109056135083	1.0256659615249345e6
1873.817422860385	1.1596616662906623e6
2037.4685280397082	1.3105522594981778e6
2215.4122125811828	1.4804021168830332e6
2408.8967285183035	1.671520967886638e6
2619.279344815627	1.8864923544902804e6
2848.035868435802	2.1282053211791096e6
3096.7709969353514	2.3998896960578267e6
3367.2295752114223	2.7051553625954343e6
3661.3088353640323	3.048035965192686e6
3981.0717055349733	3.4330375401978977e6
4328.761281083057	3.865192617645536e6
4706.816559609249	4.350120398413747e6
5117.889550210738	4.894093677303567e6
5564.863876983295	5.504113255413035e6
6050.875007272942	6.187990665861433e6
6579.332246575683	6.954440126240964e6
7153.942654376493	7.813180730048047e6
7778.737048694311	8.775049998785304e6
8458.098281751338	9.852130037541749e6
9196.791985117065	1.1057887670886453e7
10000.0	1.2407330084208101e7
